timestamp,nodeId,pktId,seqno,mcs
1678283398.850102,6,1006710,2181,5
1678283398.850102,6,1006711,2181,5
1678283398.850102,6,1006712,2181,5
1678283398.850102,6,1006713,2181,5
1678283398.850102,6,1006714,2181,5
1678283398.850102,6,1006715,2181,5
1678283398.850102,6,1006716,2181,5
1678283398.850102,6,1006717,2181,5
1678283398.850102,6,1006718,2181,5
1678283398.850102,6,1006719,2181,5
1678283398.861635,6,1006720,2200,5
1678283398.861635,6,1006721,2200,5
1678283398.861635,6,1006722,2200,5
1678283398.861635,6,1006723,2200,5
1678283398.861635,6,1006724,2200,5
1678283398.861635,6,1006725,2200,5
1678283398.861635,6,1006726,2200,5
1678283398.861635,6,1006727,2200,5
1678283398.861635,6,1006728,2200,5
1678283398.861635,6,1006729,2200,5
1678283398.861859,6,1006740,2238,5
1678283398.861859,6,1006741,2238,5
1678283398.861859,6,1006742,2238,5
1678283398.861859,6,1006743,2238,5
1678283398.861859,6,1006744,2238,5
1678283398.861859,6,1006745,2238,5
1678283398.861859,6,1006746,2238,5
1678283398.861859,6,1006747,2238,5
1678283398.861859,6,1006748,2238,5
1678283398.861859,6,1006749,2238,5
1678283398.87374,6,1006750,2257,5
1678283398.87374,6,1006751,2257,5
1678283398.87374,6,1006752,2257,5
1678283398.87374,6,1006753,2257,5
1678283398.87374,6,1006754,2257,5
1678283398.87374,6,1006755,2257,5
1678283398.87374,6,1006756,2257,5
1678283398.87374,6,1006757,2257,5
1678283398.87374,6,1006758,2257,5
1678283398.87374,6,1006759,2257,5
1678283398.874301,6,1006760,2278,5
1678283398.874301,6,1006761,2278,5
1678283398.874301,6,1006762,2278,5
1678283398.874301,6,1006763,2278,5
1678283398.874301,6,1006764,2278,5
1678283398.874301,6,1006765,2278,5
1678283398.874301,6,1006766,2278,5
1678283398.874301,6,1006767,2278,5
1678283398.874301,6,1006768,2278,5
1678283398.874301,6,1006769,2278,5
1678283398.885683,6,1006770,2297,5
1678283398.885683,6,1006771,2297,5
1678283398.885683,6,1006772,2297,5
1678283398.885683,6,1006773,2297,5
1678283398.885683,6,1006774,2297,5
1678283398.885683,6,1006775,2297,5
1678283398.885683,6,1006776,2297,5
1678283398.885683,6,1006777,2297,5
1678283398.885683,6,1006778,2297,5
1678283398.885683,6,1006779,2297,5
1678283398.885986,6,1006780,2317,5
1678283398.885986,6,1006781,2317,5
1678283398.885986,6,1006782,2317,5
1678283398.885986,6,1006783,2317,5
1678283398.885986,6,1006784,2317,5
1678283398.885986,6,1006785,2317,5
1678283398.885986,6,1006786,2317,5
1678283398.885986,6,1006787,2317,5
1678283398.885986,6,1006788,2317,5
1678283398.885986,6,1006789,2317,5
1678283398.886265,6,1006790,2341,5
1678283398.886265,6,1006791,2341,5
1678283398.886265,6,1006792,2341,5
1678283398.886265,6,1006793,2341,5
1678283398.886265,6,1006794,2341,5
1678283398.886265,6,1006795,2341,5
1678283398.886265,6,1006796,2341,5
1678283398.886265,6,1006797,2341,5
1678283398.886265,6,1006798,2341,5
1678283398.886265,6,1006799,2341,5
1678283398.897599,6,1006800,2360,5
1678283398.897599,6,1006801,2360,5
1678283398.897599,6,1006802,2360,5
1678283398.897599,6,1006803,2360,5
1678283398.897599,6,1006804,2360,5
1678283398.897599,6,1006805,2360,5
1678283398.897599,6,1006806,2360,5
1678283398.897599,6,1006807,2360,5
1678283398.897599,6,1006808,2360,5
1678283398.897599,6,1006809,2360,5
1678283398.897701,6,1006810,2380,5
1678283398.897701,6,1006811,2380,5
1678283398.897701,6,1006812,2380,5
1678283398.897701,6,1006813,2380,5
1678283398.897701,6,1006814,2380,5
1678283398.897701,6,1006815,2380,5
1678283398.897701,6,1006816,2380,5
1678283398.897701,6,1006817,2380,5
1678283398.897701,6,1006818,2380,5
1678283398.897701,6,1006819,2380,5
1678283398.897789,6,1006820,2400,5
1678283398.897789,6,1006821,2400,5
1678283398.897789,6,1006822,2400,5
1678283398.897789,6,1006823,2400,5
1678283398.897789,6,1006824,2400,5
1678283398.897789,6,1006825,2400,5
1678283398.897789,6,1006826,2400,5
1678283398.897789,6,1006827,2400,5
1678283398.897789,6,1006828,2400,5
1678283398.897789,6,1006829,2400,5
1678283398.909597,6,1006830,2422,5
1678283398.909597,6,1006831,2422,5
1678283398.909597,6,1006832,2422,5
1678283398.909597,6,1006833,2422,5
1678283398.909597,6,1006834,2422,5
1678283398.909597,6,1006835,2422,5
1678283398.909597,6,1006836,2422,5
1678283398.909597,6,1006837,2422,5
1678283398.909597,6,1006838,2422,5
1678283398.909597,6,1006839,2422,5
1678283398.909715,6,1006840,2445,5
1678283398.909715,6,1006841,2445,5
1678283398.909715,6,1006842,2445,5
1678283398.909715,6,1006843,2445,5
1678283398.909715,6,1006844,2445,5
1678283398.909715,6,1006845,2445,5
1678283398.909715,6,1006846,2445,5
1678283398.909715,6,1006847,2445,5
1678283398.909715,6,1006848,2445,5
1678283398.909715,6,1006849,2445,5
1678283398.921627,6,1006850,2468,5
1678283398.921627,6,1006851,2468,5
1678283398.921627,6,1006852,2468,5
1678283398.921627,6,1006853,2468,5
1678283398.921627,6,1006854,2468,5
1678283398.921627,6,1006855,2468,5
1678283398.921627,6,1006856,2468,5
1678283398.921627,6,1006857,2468,5
1678283398.921627,6,1006858,2468,5
1678283398.921627,6,1006859,2468,5
1678283398.921828,6,1006860,2490,5
1678283398.921828,6,1006861,2490,5
1678283398.921828,6,1006862,2490,5
1678283398.921828,6,1006863,2490,5
1678283398.921828,6,1006864,2490,5
1678283398.921828,6,1006865,2490,5
