timestamp,nodeId,pktId,seqno,mcs
1678282507.241666,1,68540,2945,4
1678282507.241666,1,68541,2945,4
1678282507.241666,1,68542,2945,4
1678282507.241666,1,68543,2945,4
1678282507.241666,1,68544,2945,4
1678282507.241666,1,68545,2945,4
1678282507.241666,1,68546,2945,4
1678282507.241666,1,68547,2945,4
1678282507.241666,1,68548,2945,4
1678282507.241666,1,68549,2945,4
1678282507.241888,1,68550,2963,4
1678282507.241888,1,68551,2963,4
1678282507.241888,1,68552,2963,4
1678282507.241888,1,68553,2963,4
1678282507.241888,1,68554,2963,4
1678282507.241888,1,68555,2963,4
1678282507.241888,1,68556,2963,4
1678282507.241888,1,68557,2963,4
1678282507.241888,1,68558,2963,4
1678282507.241888,1,68559,2963,4
1678282507.242051,1,68560,2977,4
1678282507.242051,1,68561,2977,4
1678282507.242051,1,68562,2977,4
1678282507.242051,1,68563,2977,4
1678282507.242051,1,68564,2977,4
1678282507.242051,1,68565,2977,4
1678282507.242051,1,68566,2977,4
1678282507.242051,1,68567,2977,4
1678282507.242051,1,68568,2977,4
1678282507.242051,1,68569,2977,4
1678282507.257754,1,68570,2993,4
1678282507.257754,1,68571,2993,4
1678282507.257754,1,68572,2993,4
1678282507.257754,1,68573,2993,4
1678282507.257754,1,68574,2993,4
1678282507.257754,1,68575,2993,4
1678282507.257754,1,68576,2993,4
1678282507.257754,1,68577,2993,4
1678282507.257754,1,68578,2993,4
1678282507.257754,1,68579,2993,4
1678282507.258303,1,68580,3010,4
1678282507.258303,1,68581,3010,4
1678282507.258303,1,68582,3010,4
1678282507.258303,1,68583,3010,4
1678282507.258303,1,68584,3010,4
1678282507.258303,1,68585,3010,4
1678282507.258303,1,68586,3010,4
1678282507.258303,1,68587,3010,4
1678282507.258303,1,68588,3010,4
1678282507.258303,1,68589,3010,4
1678282507.258706,1,68590,3025,4
1678282507.258706,1,68591,3025,4
1678282507.258706,1,68592,3025,4
1678282507.258706,1,68593,3025,4
1678282507.258706,1,68594,3025,4
1678282507.258706,1,68595,3025,4
1678282507.258706,1,68596,3025,4
1678282507.258706,1,68597,3025,4
1678282507.258706,1,68598,3025,4
1678282507.258706,1,68599,3025,4
1678282507.269637,1,68600,3037,4
1678282507.269637,1,68601,3037,4
1678282507.269637,1,68602,3037,4
1678282507.269637,1,68603,3037,4
1678282507.269637,1,68604,3037,4
1678282507.269637,1,68605,3037,4
1678282507.269637,1,68606,3037,4
1678282507.269637,1,68607,3037,4
1678282507.269637,1,68608,3037,4
1678282507.269637,1,68609,3037,4
1678282507.26982,1,68610,3052,4
1678282507.26982,1,68611,3052,4
1678282507.26982,1,68612,3052,4
1678282507.26982,1,68613,3052,4
1678282507.26982,1,68614,3052,4
1678282507.26982,1,68615,3052,4
1678282507.26982,1,68616,3052,4
1678282507.26982,1,68617,3052,4
1678282507.26982,1,68618,3052,4
1678282507.26982,1,68619,3052,4
1678282507.269937,1,68620,3068,4
1678282507.269937,1,68621,3068,4
1678282507.269937,1,68622,3068,4
1678282507.269937,1,68623,3068,4
1678282507.269937,1,68624,3068,4
1678282507.269937,1,68625,3068,4
1678282507.269937,1,68626,3068,4
1678282507.269937,1,68627,3068,4
1678282507.269937,1,68628,3068,4
1678282507.269937,1,68629,3068,4
1678282507.281617,1,68630,3084,4
1678282507.281617,1,68631,3084,4
1678282507.281617,1,68632,3084,4
1678282507.281617,1,68633,3084,4
1678282507.281617,1,68634,3084,4
1678282507.281617,1,68635,3084,4
1678282507.281617,1,68636,3084,4
1678282507.281617,1,68637,3084,4
1678282507.281617,1,68638,3084,4
1678282507.281617,1,68639,3084,4
1678282507.293775,1,68640,3100,4
1678282507.293775,1,68641,3100,4
1678282507.293775,1,68642,3100,4
1678282507.293775,1,68643,3100,4
1678282507.293775,1,68644,3100,4
1678282507.293775,1,68645,3100,4
1678282507.293775,1,68646,3100,4
1678282507.293775,1,68647,3100,4
1678282507.293775,1,68648,3100,4
1678282507.293775,1,68649,3100,4
1678282507.294445,1,68650,3115,4
1678282507.294445,1,68651,3115,4
1678282507.294445,1,68652,3115,4
1678282507.294445,1,68653,3115,4
1678282507.294445,1,68654,3115,4
1678282507.294445,1,68655,3115,4
1678282507.294445,1,68656,3115,4
1678282507.294445,1,68657,3115,4
1678282507.294445,1,68658,3115,4
1678282507.294445,1,68659,3115,4
1678282507.29477,1,68660,3134,4
1678282507.29477,1,68661,3134,4
1678282507.29477,1,68662,3134,4
1678282507.29477,1,68663,3134,4
1678282507.29477,1,68664,3134,4
1678282507.29477,1,68665,3134,4
1678282507.29477,1,68666,3134,4
1678282507.29477,1,68667,3134,4
1678282507.29477,1,68668,3134,4
1678282507.29477,1,68669,3134,4
1678282507.309769,1,68670,3147,4
1678282507.309769,1,68671,3147,4
1678282507.309769,1,68672,3147,4
1678282507.309769,1,68673,3147,4
1678282507.309769,1,68674,3147,4
1678282507.309769,1,68675,3147,4
1678282507.309769,1,68676,3147,4
1678282507.309769,1,68677,3147,4
1678282507.309769,1,68678,3147,4
1678282507.309769,1,68679,3147,4
1678282507.310782,1,68680,3163,4
1678282507.310782,1,68681,3163,4
1678282507.310782,1,68682,3163,4
1678282507.310782,1,68683,3163,4
1678282507.310782,1,68684,3163,4
1678282507.310782,1,68685,3163,4
1678282507.310782,1,68686,3163,4
1678282507.310782,1,68687,3163,4
1678282507.310782,1,68688,3163,4
1678282507.310782,1,68689,3163,4
1678282507.311252,1,68690,3179,4
1678282507.311252,1,68691,3179,4
1678282507.311252,1,68692,3179,4
1678282507.311252,1,68693,3179,4
