timestamp,nodeId,pktId,seqno
1678093485.467673,73,8818,-1
1678093485.467848,73,8819,-1
1678093485.467893,73,8820,-1
1678093485.467936,73,8821,-1
1678093485.46798,73,8822,-1
1678093485.468023,73,8823,-1
1678093485.468065,73,8824,-1
1678093485.468106,73,8825,-1
1678093485.468148,73,8826,-1
1678093485.468189,73,8827,-1
1678093485.46823,73,8828,-1
1678093485.468276,73,8829,-1
1678093485.468318,73,8830,-1
1678093485.468359,73,8831,-1
1678093485.468401,73,8832,-1
1678093485.468441,73,8833,-1
1678093485.468482,73,8834,-1
1678093485.468523,73,8835,-1
1678093485.468564,73,8836,-1
1678093485.468605,73,8837,-1
1678093485.468648,73,8838,-1
1678093485.468691,73,8839,-1
1678093485.468732,73,8840,-1
1678093485.468773,73,8841,-1
1678093485.468815,73,8842,-1
1678093485.468856,73,8843,-1
1678093485.468898,73,8844,-1
1678093485.46894,73,8845,-1
1678093485.469034,73,8846,-1
1678093485.469085,73,8847,-1
1678093485.469128,73,8848,-1
1678093485.46917,73,8849,-1
1678093485.469211,73,8850,-1
1678093485.469252,73,8851,-1
1678093485.469293,73,8852,-1
1678093485.469335,73,8853,-1
1678093485.469376,73,8854,-1
1678093485.469418,73,8855,-1
1678093485.46946,73,8856,-1
1678093485.470155,73,8857,-1
1678093485.470203,73,8858,-1
1678093485.470244,73,8859,-1
1678093485.470286,73,8860,-1
1678093485.470326,73,8861,-1
1678093485.470368,73,8862,-1
1678093485.470409,73,8863,-1
1678093485.47045,73,8864,-1
1678093485.470497,73,8865,-1
1678093485.470539,73,8866,-1
1678093485.47058,73,8867,-1
1678093485.470621,73,8868,-1
1678093485.470663,73,8869,-1
1678093485.487414,73,8870,-1
1678093485.487475,73,8871,-1
1678093485.487517,73,8872,-1
1678093485.487559,73,8873,-1
1678093485.487602,73,8874,-1
1678093485.487643,73,8875,-1
1678093485.487685,73,8876,-1
1678093485.487725,73,8877,-1
1678093485.487767,73,8878,-1
1678093485.487808,73,8879,-1
1678093485.487849,73,8880,-1
1678093485.48789,73,8881,-1
1678093485.487932,73,8882,-1
1678093485.487974,73,8883,-1
1678093485.488384,73,8884,-1
1678093485.488431,73,8885,-1
1678093485.488472,73,8886,-1
1678093485.489449,73,8887,-1
1678093485.489496,73,8888,-1
1678093485.489537,73,8889,-1
1678093485.489579,73,8890,-1
1678093485.48962,73,8891,-1
1678093485.489662,73,8892,-1
1678093485.489704,73,8893,-1
1678093485.489745,73,8894,-1
1678093485.489787,73,8895,-1
1678093485.489828,73,8896,-1
1678093485.489869,73,8897,-1
1678093485.48991,73,8898,-1
1678093485.489951,73,8899,-1
1678093485.489992,73,8900,-1
1678093485.490033,73,8901,-1
1678093485.490075,73,8902,-1
1678093485.490119,73,8903,-1
1678093485.490161,73,8904,-1
1678093485.490202,73,8905,-1
1678093485.490243,73,8906,-1
1678093485.490284,73,8907,-1
1678093485.490326,73,8908,-1
1678093485.507902,73,8909,-1
1678093485.507968,73,8910,-1
1678093485.50801,73,8911,-1
1678093485.508052,73,8912,-1
1678093485.508093,73,8913,-1
1678093485.508134,73,8914,-1
