ts,rate,pdr,pdr_seqno,nodeId,app_rate,method
1678281968.557875,10.896,0.8333333333333334,0.02297266253158741,1.0,20,ourcode
1678281968.657875,15.2544,0.9333333333333333,0.03178206583427923,1.0,20,ourcode
1678281968.757875,14.1648,1.0,0.4377104377104377,1.0,20,ourcode
1678281968.857875,17.4336,0.9411764705882353,0.035754189944134075,1.0,20,ourcode
1678281968.957875,13.0752,1.0,0.027522935779816515,1.0,20,ourcode
1678281969.057875,17.4336,1.0,0.03597122302158273,1.0,20,ourcode
1678281969.157875,13.0752,0.8571428571428571,0.027155465037338764,1.0,20,ourcode
1678281969.257875,17.4336,1.0,0.03596313778377164,1.0,20,ourcode
1678281969.357875,15.2544,1.0,0.031717263253285,1.0,20,ourcode
1678281969.457875,15.2544,1.0,0.03168137587689523,1.0,20,ourcode
1678281969.557875,18.5232,1.0,0.03792949576082106,1.0,20,ourcode
1678281969.657875,15.2544,1.0,0.0315955766192733,1.0,20,ourcode
1678281969.757875,16.344,1.0,0.03395970115462984,1.0,20,ourcode
1678281969.857875,17.4336,1.0,0.035794183445190156,1.0,20,ourcode
1678281969.957875,11.9856,0.8461538461538461,0.36789297658862874,1.0,20,ourcode
1678281970.057875,13.0752,0.9230769230769231,0.027422303473491772,1.0,20,ourcode
1678281970.157875,17.4336,1.0,0.036101083032490974,1.0,20,ourcode
1678281970.257875,11.9856,1.0,0.025333947489636112,1.0,20,ourcode
1678281970.357875,16.344,1.0,0.034013605442176874,1.0,20,ourcode
1678281970.457875,17.4336,1.0,0.03594697820714446,1.0,20,ourcode
1678281970.557875,14.1648,0.9285714285714286,0.029391815509834954,1.0,20,ourcode
1678281970.657875,14.1648,0.9285714285714286,0.029552170947942713,1.0,20,ourcode
1678281970.757875,17.4336,1.0,0.035754189944134075,1.0,20,ourcode
1678281970.857875,16.344,1.0,0.03383713061132416,1.0,20,ourcode
1678281970.957875,15.2544,1.0,0.031746031746031744,1.0,20,ourcode
1678281971.057875,16.344,1.0,0.033852403520649964,1.0,20,ourcode
1678281971.157875,13.0752,0.9230769230769231,0.027403516784654032,1.0,20,ourcode
1678281971.257875,11.9856,0.9166666666666666,0.41825095057034223,1.0,20,ourcode
1678281971.357875,16.344,0.8823529411764706,0.0335795836131632,1.0,20,ourcode
1678281971.457875,15.2544,1.0,0.03178928247048138,1.0,20,ourcode
1678281971.557875,13.0752,0.9230769230769231,0.027260336210813266,1.0,20,ourcode
1678281971.657875,17.4336,1.0,0.036036036036036036,1.0,20,ourcode
1678281971.757875,16.344,1.0,0.03389064618165386,1.0,20,ourcode
1678281971.857875,14.1648,1.0,0.029639762881896944,1.0,20,ourcode
1678281971.957875,17.4336,1.0,0.035850324893569346,1.0,20,ourcode
1678281972.057875,16.344,1.0,0.033776176536816034,1.0,20,ourcode
1678281972.157875,16.344,1.0,0.033738191632928474,1.0,20,ourcode
1678281972.257875,16.344,1.0,0.03382949932341001,1.0,20,ourcode
1678281972.357875,16.344,1.0,0.03379139445821131,1.0,20,ourcode
1678281972.457875,15.2544,1.0,0.43209876543209874,1.0,20,ourcode
1678281972.557875,17.4336,1.0,0.03615002259376412,1.0,20,ourcode
1678281972.657875,15.2544,1.0,0.031832651205093224,1.0,20,ourcode
1678281972.757875,15.2544,1.0,0.031746031746031744,1.0,20,ourcode
1678281972.857875,17.4336,1.0,0.03593890386343217,1.0,20,ourcode
1678281972.957875,15.2544,0.9333333333333333,0.031510240828269184,1.0,20,ourcode
1678281973.057875,16.344,1.0,0.03365492483733453,1.0,20,ourcode
1678281973.157875,18.5232,1.0,0.037921035021191166,1.0,20,ourcode
1678281973.257875,15.2544,1.0,0.03168137587689523,1.0,20,ourcode
1678281973.357875,16.344,1.0,0.03379139445821131,1.0,20,ourcode
1678281973.457875,18.5232,1.0,0.037811387900355875,1.0,20,ourcode
1678281973.557875,16.344,1.0,0.03372302158273381,1.0,20,ourcode
1678281973.657875,14.1648,1.0,0.4377104377104377,1.0,20,ourcode
1678281973.757875,16.344,0.9375,0.033776176536816034,1.0,20,ourcode
1678281973.857875,15.2544,1.0,0.03167420814479638,1.0,20,ourcode
1678281973.957875,17.4336,1.0,0.03581822252070741,1.0,20,ourcode
1678281974.057875,17.4336,1.0,0.03577817531305903,1.0,20,ourcode
1678281974.157875,16.344,1.0,0.03367759317467445,1.0,20,ourcode
1678281974.257875,14.1648,1.0,0.029491833030852996,1.0,20,ourcode
1678281974.357875,18.5232,1.0,0.03781979977753059,1.0,20,ourcode
1678281974.457875,16.344,1.0,0.03372302158273381,1.0,20,ourcode
1678281974.557875,16.344,1.0,0.03367759317467445,1.0,20,ourcode
1678281974.657875,18.5232,1.0,0.037836634765190294,1.0,20,ourcode
1678281974.757875,16.344,1.0,0.03372302158273381,1.0,20,ourcode
1678281974.857875,16.344,1.0,0.42735042735042733,1.0,20,ourcode
1678281974.957875,18.5232,1.0,0.03788722977490528,1.0,20,ourcode
1678281975.057875,16.344,1.0,0.03367759317467445,1.0,20,ourcode
1678281975.157875,16.344,1.0,0.033730604902181244,1.0,20,ourcode
1678281975.257875,18.5232,1.0,0.0378029797642873,1.0,20,ourcode
1678281975.357875,17.4336,1.0,0.035762181493071074,1.0,20,ourcode
1678281975.457875,15.2544,1.0,0.03164556962025317,1.0,20,ourcode
1678281975.557875,19.6128,1.0,0.03984945760460483,1.0,20,ourcode
1678281975.657875,13.0752,1.0,0.027391006619493265,1.0,20,ourcode
1678281975.757875,14.1648,1.0,0.029714285714285714,1.0,20,ourcode
1678281975.857875,15.2544,1.0,0.03208801283520513,1.0,20,ourcode
1678281975.957875,15.2544,1.0,0.03179650238473768,1.0,20,ourcode
1678281976.057875,18.5232,1.0,0.004111643206114255,1.0,20,ourcode
1678281976.157875,9.8064,0.5625,0.020107238605898123,1.0,20,ourcode
1678281976.257875,14.1648,0.8666666666666667,0.02945174444947893,1.0,20,ourcode
1678281976.357875,16.344,1.0,0.03367759317467445,1.0,20,ourcode
1678281976.457875,14.1648,1.0,0.029538741195182912,1.0,20,ourcode
1678281976.557875,17.4336,0.8888888888888888,0.035555555555555556,1.0,20,ourcode
1678281976.657875,16.344,1.0,0.03370029206919793,1.0,20,ourcode
1678281976.757875,15.2544,1.0,0.031652724395206874,1.0,20,ourcode
1678281976.857875,17.4336,1.0,0.03580219288431417,1.0,20,ourcode
1678281976.957875,18.5232,1.0,0.03788722977490528,1.0,20,ourcode
1678281977.057875,15.2544,0.9333333333333333,0.03143242029636282,1.0,20,ourcode
1678281977.157875,14.1648,0.8125,0.34210526315789475,1.0,20,ourcode
1678281977.257875,14.1648,1.0,0.029606012297882033,1.0,20,ourcode
1678281977.357875,15.2544,1.0,0.031832651205093224,1.0,20,ourcode
1678281977.457875,18.5232,1.0,0.03801431127012522,1.0,20,ourcode
1678281977.557875,14.1648,0.9285714285714286,0.029418420457116994,1.0,20,ourcode
1678281977.657875,14.1648,0.9285714285714286,0.02947177510768533,1.0,20,ourcode
1678281977.757875,15.2544,1.0,0.031832651205093224,1.0,20,ourcode
1678281977.857875,14.1648,1.0,0.02961950330371383,1.0,20,ourcode
1678281977.957875,14.1648,1.0,0.02967359050445104,1.0,20,ourcode
1678281978.057875,16.344,0.9375,0.03387533875338753,1.0,20,ourcode
1678281978.157875,7.6272,0.7,0.016188714153561518,1.0,20,ourcode
1678281978.257875,11.9856,0.7857142857142857,0.02521779000458505,1.0,20,ourcode
1678281978.357875,11.9856,0.7857142857142857,0.024971623155505107,1.0,20,ourcode
