ts,rate,pdr,pdr_seqno,nodeId,app_rate,method
1678285447.157948,20.04864,0.9735449735449735,0.001150481764238775,1.0,20,our
1678285447.257948,19.28592,0.9943820224719101,0.9943820224719101,1.0,20,our
1678285447.357948,19.068,0.9776536312849162,0.9776536312849162,1.0,20,our
1678285447.457948,19.93968,0.9195979899497487,0.9195979899497487,1.0,20,our
1678285447.557948,18.63216,0.9606741573033708,0.9606741573033708,1.0,20,our
1678285447.657948,18.30528,0.9333333333333333,0.9333333333333333,1.0,20,our
1678285447.757948,20.37552,0.9396984924623115,0.9396984924623115,1.0,20,our
1678285447.857948,18.30528,0.9438202247191011,0.9438202247191011,1.0,20,our
1678285447.957948,18.95904,0.925531914893617,0.925531914893617,1.0,20,our
1678285448.057948,16.56192,0.8587570621468926,0.8587570621468926,1.0,20,our
1678285448.157948,20.48448,0.94,0.94,1.0,20,our
1678285448.257948,18.63216,0.9606741573033708,0.9606741573033708,1.0,20,our
1678285448.357948,16.56192,0.8491620111731844,0.8491620111731844,1.0,20,our
1678285448.457948,17.9784,0.9322033898305084,0.9322033898305084,1.0,20,our
1678285448.557948,19.93968,0.9104477611940298,0.9104477611940298,1.0,20,our
1678285448.657948,18.08736,0.9378531073446328,0.9378531073446328,1.0,20,our
1678285448.757948,17.9784,0.9217877094972067,0.9217877094972067,1.0,20,our
1678285448.857948,21.35616,0.98,0.98,1.0,20,our
1678285448.957948,18.63216,0.9606741573033708,0.9606741573033708,1.0,20,our
1678285449.057948,20.7024,0.95,0.95,1.0,20,our
1678285449.157948,19.17696,0.9832402234636871,0.9832402234636871,1.0,20,our
1678285449.257948,19.17696,0.9887640449438202,0.9887640449438202,1.0,20,our
1678285449.357948,20.81136,0.955,0.955,1.0,20,our
1678285449.457948,18.63216,0.9606741573033708,0.9606741573033708,1.0,20,our
1678285449.557948,18.63216,0.9606741573033708,0.9606741573033708,1.0,20,our
1678285449.657948,20.92032,0.96,0.96,1.0,20,our
1678285449.757948,18.74112,0.9608938547486033,0.9608938547486033,1.0,20,our
1678285449.857948,18.85008,0.9719101123595506,0.9719101123595506,1.0,20,our
1678285449.957948,20.59344,0.984375,0.984375,1.0,20,our
1678285450.057948,19.93968,0.9432989690721649,0.9432989690721649,1.0,20,our
1678285450.157948,18.19632,0.9542857142857143,0.9542857142857143,1.0,20,our
1678285450.257948,18.74112,0.9502762430939227,0.9502762430939227,1.0,20,our
1678285450.357948,21.2472,0.9848484848484849,0.9848484848484849,1.0,20,our
1678285450.457948,19.28592,0.9833333333333333,0.9833333333333333,1.0,20,our
1678285450.557948,19.068,0.9776536312849162,0.9776536312849162,1.0,20,our
1678285450.657948,21.13824,0.97,0.97,1.0,20,our
1678285450.757948,19.39488,1.0,1.0,1.0,20,our
1678285450.857948,18.74112,0.9608938547486033,0.9608938547486033,1.0,20,our
1678285450.957948,20.1576,0.9296482412060302,0.9296482412060302,1.0,20,our
1678285451.057948,17.32464,0.8932584269662921,0.8932584269662921,1.0,20,our
1678285451.157948,18.41424,0.9441340782122905,0.9441340782122905,1.0,20,our
1678285451.257948,19.6128,0.9,0.9,1.0,20,our
1678285451.357948,19.068,0.9831460674157303,0.9831460674157303,1.0,20,our
1678285451.457948,19.17696,0.9887640449438202,0.9887640449438202,1.0,20,our
1678285451.557948,21.13824,0.9651741293532339,0.9651741293532339,1.0,20,our
1678285451.657948,18.63216,0.9606741573033708,0.9606741573033708,1.0,20,our
1678285451.757948,19.068,0.9831460674157303,0.9831460674157303,1.0,20,our
1678285451.857948,20.81136,0.955,0.955,1.0,20,our
1678285451.957948,15.90816,0.8202247191011236,0.8202247191011236,1.0,20,our
1678285452.057948,17.54256,0.8944444444444445,0.8944444444444445,1.0,20,our
1678285452.157948,19.50384,0.8994974874371859,0.8994974874371859,1.0,20,our
1678285452.257948,16.99776,0.8715083798882681,0.8715083798882681,1.0,20,our
1678285452.357948,14.92752,0.7696629213483146,0.7696629213483146,1.0,20,our
1678285452.457948,18.30528,0.84,0.84,1.0,20,our
1678285452.557948,17.10672,0.8722222222222222,0.8722222222222222,1.0,20,our
1678285452.657948,17.54256,0.9096045197740112,0.9096045197740112,1.0,20,our
1678285452.757948,19.39488,0.89,0.89,1.0,20,our
1678285452.857948,16.8888,0.8659217877094972,0.8659217877094972,1.0,20,our
1678285452.957948,16.77984,0.8700564971751412,0.8700564971751412,1.0,20,our
1678285453.057948,17.76048,0.8109452736318408,0.8109452736318408,1.0,20,our
1678285453.157948,17.21568,0.8926553672316384,0.8926553672316384,1.0,20,our
1678285453.257948,15.36336,0.7833333333333333,0.7833333333333333,1.0,20,our
1678285453.357948,18.41424,0.8492462311557789,0.8492462311557789,1.0,20,our
1678285453.457948,16.23504,0.8324022346368715,0.8324022346368715,1.0,20,our
1678285453.557948,18.63216,0.9606741573033708,0.9606741573033708,1.0,20,our
1678285453.657948,18.74112,0.864321608040201,0.864321608040201,1.0,20,our
1678285453.757948,16.344,0.8379888268156425,0.8379888268156425,1.0,20,our
1678285453.857948,18.30528,0.9385474860335196,0.9385474860335196,1.0,20,our
1678285453.957948,19.83072,0.914572864321608,0.914572864321608,1.0,20,our
1678285454.057948,17.4336,0.898876404494382,0.898876404494382,1.0,20,our
1678285454.157948,16.77984,0.8651685393258427,0.8651685393258427,1.0,20,our
1678285454.257948,19.28592,0.885,0.885,1.0,20,our
1678285454.357948,16.45296,0.8531073446327684,0.8531073446327684,1.0,20,our
1678285454.457948,17.65152,0.9,0.9,1.0,20,our
1678285454.557948,21.2472,0.975,0.975,1.0,20,our
1678285454.657948,18.63216,0.9606741573033708,0.9606741573033708,1.0,20,our
1678285454.757948,18.41424,0.9548022598870056,0.9548022598870056,1.0,20,our
1678285454.857948,19.39488,0.8811881188118812,0.8811881188118812,1.0,20,our
1678285454.957948,17.86944,0.9213483146067416,0.9213483146067416,1.0,20,our
1678285455.057948,18.74112,0.9717514124293786,0.9717514124293786,1.0,20,our
1678285455.157948,21.57408,0.9850746268656716,0.9850746268656716,1.0,20,our
1678285455.257948,18.5232,0.9550561797752809,0.9550561797752809,1.0,20,our
1678285455.357948,19.6128,0.972972972972973,0.972972972972973,1.0,20,our
1678285455.457948,16.8888,0.8659217877094972,0.8659217877094972,1.0,20,our
1678285455.557948,18.95904,0.9354838709677419,0.9354838709677419,1.0,20,our
1678285455.657948,20.04864,0.9246231155778895,0.9246231155778895,1.0,20,our
1678285455.757948,17.10672,0.8770949720670391,0.8770949720670391,1.0,20,our
1678285455.857948,18.41424,0.9441340782122905,0.9441340782122905,1.0,20,our
1678285455.957948,15.69024,0.7164179104477612,0.7164179104477612,1.0,20,our
1678285456.057948,14.27376,0.7359550561797753,0.7359550561797753,1.0,20,our
1678285456.157948,17.65152,0.9152542372881356,0.9152542372881356,1.0,20,our
1678285456.257948,19.50384,0.895,0.895,1.0,20,our
1678285456.357948,13.18416,0.6797752808988764,0.6797752808988764,1.0,20,our
1678285456.457948,13.0752,0.6703910614525139,0.6703910614525139,1.0,20,our
1678285456.557948,14.92752,0.681592039800995,0.681592039800995,1.0,20,our
1678285456.657948,16.99776,0.8715083798882681,0.8715083798882681,1.0,20,our
1678285456.757948,11.4408,0.5898876404494382,0.5898876404494382,1.0,20,our
1678285456.857948,12.63936,0.58,0.58,1.0,20,our
1678285456.957948,12.42144,0.6404494382022472,0.6404494382022472,1.0,20,our
1678285457.057948,14.81856,0.7640449438202247,0.7640449438202247,1.0,20,our
1678285457.157948,19.93968,0.9104477611940298,0.9104477611940298,1.0,20,our
1678285457.257948,18.08736,0.9431818181818182,0.9431818181818182,1.0,20,our
1678285457.357948,19.17696,0.9832402234636871,0.9832402234636871,1.0,20,our
1678285457.457948,20.26656,0.93,0.93,1.0,20,our
1678285457.557948,18.74112,0.9662921348314607,0.9662921348314607,1.0,20,our
1678285457.657948,16.23504,0.8418079096045198,0.8418079096045198,1.0,20,our
1678285457.757948,19.068,0.8793969849246231,0.8793969849246231,1.0,20,our
1678285457.857948,16.67088,0.8793103448275862,0.8793103448275862,1.0,20,our
1678285457.957948,18.85008,0.9402173913043478,0.9402173913043478,1.0,20,our
1678285458.057948,18.08736,0.9485714285714286,0.9485714285714286,1.0,20,our
1678285458.157948,20.59344,0.9402985074626866,0.9402985074626866,1.0,20,our
1678285458.257948,17.86944,0.9371428571428572,0.9371428571428572,1.0,20,our
1678285458.357948,16.45296,0.848314606741573,0.848314606741573,1.0,20,our
1678285458.457948,12.09456,0.5467980295566502,0.5467980295566502,1.0,20,our
1678285458.557948,8.49888,0.44571428571428573,0.44571428571428573,1.0,20,our
1678285458.657948,14.27376,0.7401129943502824,0.7401129943502824,1.0,20,our
1678285458.757948,20.92032,0.9746192893401016,0.9746192893401016,1.0,20,our
1678285458.857948,18.95904,0.9830508474576272,0.9830508474576272,1.0,20,our
1678285458.957948,18.63216,0.9553072625698324,0.9553072625698324,1.0,20,our
1678285459.057948,21.35616,0.98989898989899,0.98989898989899,1.0,20,our
1678285459.157948,17.54256,0.9044943820224719,0.9044943820224719,1.0,20,our
1678285459.257948,17.4336,0.898876404494382,0.898876404494382,1.0,20,our
1678285459.357948,21.13824,0.9797979797979798,0.9797979797979798,1.0,20,our
1678285459.457948,15.58128,0.8033707865168539,0.8033707865168539,1.0,20,our
1678285459.557948,19.17696,0.9887640449438202,0.9887640449438202,1.0,20,our
1678285459.657948,19.17696,0.88,0.88,1.0,20,our
1678285459.757948,18.74112,0.9398907103825137,0.9398907103825137,1.0,20,our
1678285459.857948,17.86944,0.9111111111111111,0.9111111111111111,1.0,20,our
1678285459.957948,17.9784,0.9428571428571428,0.9428571428571428,1.0,20,our
1678285460.057948,20.1576,0.9296482412060302,0.9296482412060302,1.0,20,our
1678285460.157948,17.4336,0.8938547486033519,0.8938547486033519,1.0,20,our
1678285460.257948,16.77984,0.8700564971751412,0.8700564971751412,1.0,20,our
1678285460.357948,13.83792,0.625615763546798,0.625615763546798,1.0,20,our
1678285460.457948,9.2616,0.4913294797687861,0.4913294797687861,1.0,20,our
1678285460.557948,17.65152,0.9050279329608939,0.9050279329608939,1.0,20,our
1678285460.657948,20.37552,0.9444444444444444,0.9444444444444444,1.0,20,our
1678285460.757948,16.12608,0.8361581920903954,0.8361581920903954,1.0,20,our
1678285460.857948,17.32464,0.8932584269662921,0.8932584269662921,1.0,20,our
1678285460.957948,18.5232,0.85,0.85,1.0,20,our
1678285461.057948,18.85008,0.9453551912568307,0.9453551912568307,1.0,20,our
1678285461.157948,17.21568,0.9239766081871345,0.9239766081871345,1.0,20,our
1678285461.257948,18.63216,0.8592964824120602,0.8592964824120602,1.0,20,our
1678285461.357948,11.65872,0.6045197740112994,0.6045197740112994,1.0,20,our
1678285461.457948,14.27376,0.7318435754189944,0.7318435754189944,1.0,20,our
1678285461.557948,19.50384,0.8994974874371859,0.8994974874371859,1.0,20,our
1678285461.657948,16.56192,0.8539325842696629,0.8539325842696629,1.0,20,our
1678285461.757948,16.67088,0.8595505617977528,0.8595505617977528,1.0,20,our
1678285461.857948,17.21568,0.797979797979798,0.797979797979798,1.0,20,our
