,rate,ts,num,method
0,103.55558400000001,1678094087.889235,1,baseline_uc
1,82.89676800000001,1678094087.989235,1,baseline_uc
2,98.06400000000001,1678094088.089235,1,baseline_uc
3,81.93792,1678094088.189235,1,baseline_uc
4,87.25516800000001,1678094088.289235,1,baseline_uc
5,90.65472,1678094088.389235,1,baseline_uc
6,84.378624,1678094088.489235,1,baseline_uc
7,89.3472,1678094088.589235,1,baseline_uc
8,93.09542400000001,1678094088.689235,1,baseline_uc
9,92.83392,1678094088.789235,1,baseline_uc
10,83.41977600000001,1678094088.889235,1,baseline_uc
11,89.69587200000001,1678094088.989235,1,baseline_uc
12,88.03968,1678094089.089235,1,baseline_uc
13,85.773312,1678094089.189235,1,baseline_uc
14,96.93081600000001,1678094089.289235,1,baseline_uc
15,87.080832,1678094089.389235,1,baseline_uc
16,92.921088,1678094089.489235,1,baseline_uc
17,96.146304,1678094089.589235,1,baseline_uc
18,97.27948800000001,1678094089.689235,1,baseline_uc
19,93.182592,1678094089.789235,1,baseline_uc
20,93.967104,1678094089.889235,1,baseline_uc
21,86.470656,1678094089.989235,1,baseline_uc
22,94.925952,1678094090.089235,1,baseline_uc
23,94.22860800000001,1678094090.189235,1,baseline_uc
24,100.940544,1678094090.289235,1,baseline_uc
25,97.715328,1678094090.389235,1,baseline_uc
26,90.82905600000001,1678094090.489235,1,baseline_uc
27,85.511808,1678094090.589235,1,baseline_uc
28,93.967104,1678094090.689235,1,baseline_uc
29,99.80736000000002,1678094090.789235,1,baseline_uc
30,100.940544,1678094090.889235,1,baseline_uc
31,94.22860800000001,1678094090.989235,1,baseline_uc
32,94.402944,1678094091.089235,1,baseline_uc
33,100.2432,1678094091.189235,1,baseline_uc
34,100.504704,1678094091.289235,1,baseline_uc
35,86.73216000000001,1678094091.389235,1,baseline_uc
36,90.82905600000001,1678094091.489235,1,baseline_uc
37,94.14144,1678094091.589235,1,baseline_uc
38,90.393216,1678094091.689235,1,baseline_uc
39,87.25516800000001,1678094091.789235,1,baseline_uc
40,82.98393600000001,1678094091.889235,1,baseline_uc
41,86.73216000000001,1678094091.989235,1,baseline_uc
42,89.172864,1678094092.089235,1,baseline_uc
43,94.31577600000001,1678094092.189235,1,baseline_uc
44,93.444096,1678094092.289235,1,baseline_uc
45,91.352064,1678094092.389235,1,baseline_uc
46,89.78304000000001,1678094092.489235,1,baseline_uc
47,90.48038400000002,1678094092.589235,1,baseline_uc
48,93.967104,1678094092.689235,1,baseline_uc
49,90.306048,1678094092.789235,1,baseline_uc
50,97.976832,1678094092.889235,1,baseline_uc
51,97.105152,1678094092.989235,1,baseline_uc
52,94.402944,1678094093.089235,1,baseline_uc
53,92.39808000000001,1678094093.189235,1,baseline_uc
54,96.49497600000001,1678094093.289235,1,baseline_uc
55,93.967104,1678094093.389235,1,baseline_uc
56,96.58214400000001,1678094093.489235,1,baseline_uc
57,93.967104,1678094093.589235,1,baseline_uc
58,99.458688,1678094093.689235,1,baseline_uc
59,95.36179200000001,1678094093.789235,1,baseline_uc
60,85.16313600000001,1678094093.889235,1,baseline_uc
61,96.146304,1678094093.989235,1,baseline_uc
62,89.52153600000001,1678094094.089235,1,baseline_uc
63,88.301184,1678094094.189235,1,baseline_uc
64,94.57728,1678094094.289235,1,baseline_uc
65,97.366656,1678094094.389235,1,baseline_uc
66,101.28921600000001,1678094094.489235,1,baseline_uc
67,98.93568,1678094094.589235,1,baseline_uc
68,78.01536,1678094094.689235,1,baseline_uc
69,101.55072000000001,1678094094.789235,1,baseline_uc
70,87.342336,1678094094.889235,1,baseline_uc
71,98.58700800000001,1678094094.989235,1,baseline_uc
72,95.187456,1678094095.089235,1,baseline_uc
73,91.177728,1678094095.189235,1,baseline_uc
74,93.008256,1678094095.289235,1,baseline_uc
75,92.39808000000001,1678094095.389235,1,baseline_uc
76,93.182592,1678094095.489235,1,baseline_uc
77,103.38124800000001,1678094095.589235,1,baseline_uc
78,103.90425600000002,1678094095.689235,1,baseline_uc
79,99.02284800000001,1678094095.789235,1,baseline_uc
80,93.53126400000001,1678094095.889235,1,baseline_uc
81,94.75161600000001,1678094095.989235,1,baseline_uc
82,95.79763200000001,1678094096.089235,1,baseline_uc
83,100.59187200000001,1678094096.189235,1,baseline_uc
84,94.49011200000001,1678094096.289235,1,baseline_uc
85,93.182592,1678094096.389235,1,baseline_uc
86,89.78304000000001,1678094096.489235,1,baseline_uc
87,98.32550400000001,1678094096.589235,1,baseline_uc
88,99.720192,1678094096.689235,1,baseline_uc
89,97.54099200000002,1678094096.789235,1,baseline_uc
90,101.637888,1678094096.889235,1,baseline_uc
91,96.407808,1678094096.989235,1,baseline_uc
92,93.7056,1678094097.089235,1,baseline_uc
93,90.306048,1678094097.189235,1,baseline_uc
94,95.187456,1678094097.289235,1,baseline_uc
95,93.008256,1678094097.389235,1,baseline_uc
96,105.47328,1678094097.489235,1,baseline_uc
97,93.967104,1678094097.589235,1,baseline_uc
98,94.402944,1678094097.689235,1,baseline_uc
